[16:50:55] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[16:50:56] [ServerMain/INFO]: Loaded 7 recipes
[16:50:57] [ServerMain/INFO]: Loaded 1271 advancements
[16:50:57] [Server thread/INFO]: Starting minecraft server version 1.20.1
[16:50:57] [Server thread/INFO]: Loading properties
[16:50:57] [Server thread/INFO]: Default game type: SURVIVAL
[16:50:57] [Server thread/INFO]: Generating keypair
[16:50:57] [Server thread/INFO]: Starting Minecraft server on *:25565
[16:50:57] [Server thread/INFO]: Using epoll channel type
[16:50:57] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[16:50:57] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[16:50:57] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[16:50:57] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[16:50:57] [Server thread/INFO]: Preparing level "losgrandesmatis"
[16:51:03] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[16:51:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:51:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:51:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[16:51:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:51:05] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[16:51:06] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[16:51:06] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[16:51:07] [Worker-Main-1/INFO]: Preparing spawn area: 3%
[16:51:07] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[16:51:08] [Worker-Main-3/INFO]: Preparing spawn area: 6%
[16:51:08] [Worker-Main-3/INFO]: Preparing spawn area: 7%
[16:51:09] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[16:51:09] [Worker-Main-1/INFO]: Preparing spawn area: 10%
[16:51:10] [Worker-Main-3/INFO]: Preparing spawn area: 12%
[16:51:10] [Worker-Main-3/INFO]: Preparing spawn area: 14%
[16:51:11] [Worker-Main-3/INFO]: Preparing spawn area: 16%
[16:51:11] [Worker-Main-1/INFO]: Preparing spawn area: 17%
[16:51:12] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[16:51:12] [Worker-Main-3/INFO]: Preparing spawn area: 21%
[16:51:13] [Worker-Main-3/INFO]: Preparing spawn area: 22%
[16:51:13] [Worker-Main-2/INFO]: Preparing spawn area: 25%
[16:51:14] [Worker-Main-1/INFO]: Preparing spawn area: 27%
[16:51:14] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[16:51:15] [Worker-Main-2/INFO]: Preparing spawn area: 31%
[16:51:15] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[16:51:16] [Worker-Main-3/INFO]: Preparing spawn area: 36%
[16:51:16] [Worker-Main-2/INFO]: Preparing spawn area: 38%
[16:51:17] [Worker-Main-2/INFO]: Preparing spawn area: 41%
[16:51:17] [Worker-Main-1/INFO]: Preparing spawn area: 43%
[16:51:18] [Worker-Main-3/INFO]: Preparing spawn area: 45%
[16:51:18] [Worker-Main-3/INFO]: Preparing spawn area: 47%
[16:51:19] [Worker-Main-3/INFO]: Preparing spawn area: 50%
[16:51:19] [Worker-Main-3/INFO]: Preparing spawn area: 53%
[16:51:20] [Worker-Main-3/INFO]: Preparing spawn area: 55%
[16:51:20] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[16:51:21] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[16:51:21] [Worker-Main-1/INFO]: Preparing spawn area: 65%
[16:51:22] [Worker-Main-3/INFO]: Preparing spawn area: 68%
[16:51:22] [Worker-Main-3/INFO]: Preparing spawn area: 70%
[16:51:23] [Worker-Main-3/INFO]: Preparing spawn area: 72%
[16:51:23] [Worker-Main-2/INFO]: Preparing spawn area: 76%
[16:51:24] [Worker-Main-2/INFO]: Preparing spawn area: 79%
[16:51:24] [Worker-Main-1/INFO]: Preparing spawn area: 82%
[16:51:25] [Worker-Main-2/INFO]: Preparing spawn area: 85%
[16:51:25] [Worker-Main-2/INFO]: Preparing spawn area: 88%
[16:51:26] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[16:51:26] [Worker-Main-2/INFO]: Preparing spawn area: 95%
[16:51:27] [Worker-Main-3/INFO]: Preparing spawn area: 98%
[16:51:27] [Server thread/INFO]: Time elapsed: 23651 ms
[16:51:27] [Server thread/INFO]: Done (29.637s)! For help, type "help"
